%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pixels
1637084796621958285,1871,0,,1155
1637084796718784078,1872,0,,1154
1637084796819156128,1873,0,,1158
1637084796907636013,1874,0,,1163
1637084796959736084,1875,0,,1162
1637084797102814645,1876,0,,1164
1637084797195557569,1877,0,,1163
1637084797287499209,1878,0,,1165
1637084797376880796,1879,0,,1160
1637084797488987173,1880,0,,1162
1637084797584847155,1881,0,,1173
1637084797678805074,1882,0,,1184
1637084797773866941,1883,0,,1198
1637084797908602632,1884,0,,1220
1637084798018665381,1885,0,,1237
1637084798099282577,1886,0,,1249
1637084798191497519,1887,0,,1249
1637084798272673147,1888,0,,1249
1637084798379791777,1889,0,,1250
1637084798467311515,1890,0,,1263
1637084798567637799,1891,0,,1263
1637084798657496392,1892,0,,1263
1637084798742449707,1893,0,,1267
1637084798841590961,1894,0,,1267
1637084798940890153,1895,0,,1257
1637084799047999015,1896,0,,1259
1637084799210754174,1897,0,,1278
1637084799304144869,1898,0,,1285
1637084799395158886,1899,0,,1304
1637084799491854168,1900,0,,1331
1637084799598466894,1901,0,,1344
1637084799745135139,1902,0,,1348
1637084799827301134,1903,0,,1347
1637084799947022970,1904,0,,1345
1637084800047336358,1905,0,,1353
1637084800150470490,1906,0,,1352
1637084800257862611,1907,0,,1362
1637084800292855357,1908,0,,1361
1637084800417503049,1909,0,,1363
1637084800527529549,1910,0,,1343
1637084800653391429,1911,0,,1341
1637084800738711431,1912,0,,1354
1637084800862929681,1913,0,,1366
1637084800962630902,1914,0,,1404
1637084801055857145,1915,0,,1415
1637084801173766827,1916,0,,1426
1637084801262886188,1917,0,,1437
1637084801341071429,1918,0,,1439
1637084801431277568,1919,0,,1436
1637084801520438112,1920,0,,1434
1637084801609898342,1921,0,,1445
1637084801721362767,1922,0,,1441
1637084801858282752,1923,0,,1440
1637084801962236079,1924,0,,1437
1637084802054809142,1925,0,,1423
1637084802145525090,1926,0,,1422
1637084802247585067,1927,0,,1415
1637084802331044667,1928,0,,1439
1637084802415269923,1929,0,,1454
1637084802506512281,1930,0,,1469
1637084802582621570,1931,0,,1479
1637084802666752791,1932,0,,1493
1637084802756317961,1933,0,,1501
