%time,field.header.stamp,field.major_axis,field.minor_axis,field.orientation,field.x,field.y,field.minor_axis_average
1.63093913119569E+018,1.63093913118098E+018,73.0595092773,63.2042121887,-0.0323516801,399.101898193,238.607894897,59.9474639893
1.63093913123195E+018,1.63093913121724E+018,67.9677047729,56.5118637085,-0.38642334938,396.949951172,248.076782227,59.6446075439
1.63093913126687E+018,1.63093913124922E+018,84.5632400513,52.1120223999,0.098115645349,390.054260254,241.575332642,58.3660469055
1.6309391312922E+018,1.63093913127859E+018,75.2762145996,63.3218078613,-0.318950027227,397.424865723,240.324203491,58.6538848877
1.63093913134131E+018,1.63093913132188E+018,82.4004669189,59.878818512,-0.0435160510242,396.234741211,242.697219849,59.0060424805
1.63093913137001E+018,1.63093913135394E+018,75.4505691528,60.7018165588,0.0455417856574,398.389556885,241.125839233,59.4085426331
1.63093913140098E+018,1.63093913138582E+018,78.4593658447,65.592956543,-0.204216778278,400.49697876,239.137557983,59.9782447815
1.63093913144037E+018,1.63093913142186E+018,74.2263336182,51.8913040161,-0.52966439724,393.901702881,248.585037231,59.8874015808
1.63093913147242E+018,1.6309391314535E+018,78.1666259766,53.2797546387,-0.574957370758,394.678894043,249.09274292,60.0195541382
1.63093913149911E+018,1.63093913148497E+018,74.4229049683,49.7890281677,-0.13336391747,393.590789795,243.823669434,60.0195541382
1.63093913153758E+018,1.63093913152089E+018,95.967376709,54.1779518127,-0.180025830865,395.688568115,247.544021606,59.047000885
1.6309391315633E+018,1.63093913154878E+018,107.295196533,44.2513084412,-0.199105784297,392.476623535,248.484863281,59.047000885
1.63093913159237E+018,1.63093913157913E+018,0,0,0,0,0,59.047000885
1.63093913162927E+018,1.6309391316149E+018,116.712463379,58.1912765503,-0.331483006477,379.035430908,244.333831787,58.4528808594
1.63093913166132E+018,1.63093913164723E+018,116.549263,62.6911277771,-0.604251265526,374.387695312,249.013076782,58.3633384705
1.63093913169839E+018,1.6309391316788E+018,95.3761291504,63.7676315308,-0.852425217628,385.525482178,246.163665771,58.3494529724
1.63093913174304E+018,1.63093913172143E+018,89.2925415039,63.1851348877,0.469648182392,380.250579834,238.500717163,58.5606117249
1.63093913176826E+018,1.63093913175323E+018,100.718948364,55.8129081726,0.552270770073,383.784088135,238.127456665,58.4289131165
1.63093913179982E+018,1.63093913178542E+018,61.589717865,48.1943740845,0.630225241184,394.093200684,239.84413147,58.4289131165
1.63093913183017E+018,1.63093913181512E+018,59.1676330566,49.9687843323,0.867514073849,396.800323486,245.198379517,58.4289131165
1.63093913186345E+018,1.63093913184661E+018,56.1201896667,48.1433830261,0.739904999733,395.71182251,242.887481689,58.4289131165
1.63093913189923E+018,1.63093913187875E+018,58.4053192139,44.5862960815,0.597720563412,394.540435791,241.419174194,58.4289131165
1.63093913192933E+018,1.63093913191497E+018,64.7254486084,48.9395980835,1.02018272877,399.90057373,246.529464722,58.4289131165
1.63093913196092E+018,1.63093913194721E+018,55.6559448242,48.7306251526,0.325669050217,394.651184082,242.346755981,58.4289131165
1.63093913199493E+018,1.63093913198081E+018,52.7998123169,47.6501579285,0.395928829908,397.43069458,239.412353516,58.4289131165
1.6309391320299E+018,1.63093913201474E+018,60.5956230164,47.6465835571,0.627911984921,391.916320801,239.064056396,58.4289131165
1.63093913206089E+018,1.63093913204651E+018,60.076789856,53.0031814575,0.235391750932,395.801025391,236.922546387,58.3444747925
1.63093913209933E+018,1.63093913208244E+018,62.1750144958,48.0588111877,0.465668618679,394.970947266,241.345123291,58.3444747925
1.63093913213059E+018,1.63093913211582E+018,59.4337387085,47.2646217346,0.892305970192,396.606201172,242.080932617,58.3444747925
1.63093913216748E+018,1.63093913215355E+018,58.7592086792,46.8340415955,0.568210601807,399.887908936,242.631652832,58.3444747925
1.6309391322064E+018,1.63093913218978E+018,69.2489471436,52.7597312927,0.88454580307,397.377105713,245.888748169,58.0839691162
1.6309391322359E+018,1.63093913222154E+018,70.8254928589,46.5384521484,0.500081479549,399.631835938,242.817382812,58.0839691162
1.63093913227117E+018,1.6309391322536E+018,65.1266555786,44.473323822,0.539921581745,400.473114014,243.399978638,58.0839691162
1.63093913229689E+018,1.63093913228244E+018,72.7597198486,47.6532897949,0.628302574158,403.934967041,245.635421753,58.0839691162
1.63093913233203E+018,1.63093913231443E+018,67.0217590332,45.2071151733,1.0400775671,400.959533691,248.19770813,58.0839691162
1.63093913236106E+018,1.63093913234659E+018,0,0,0,0,0,58.0839691162
1.63093913239845E+018,1.63093913238297E+018,0,0,0,0,0,58.0839691162
1.63093913242819E+018,1.63093913241447E+018,112.859527588,73.9486541748,1.20974063873,413.254150391,258.063873291,59.0088348389
1.6309391324623E+018,1.63093913244712E+018,89.8980712891,61.7071647644,1.37836933136,402.809448242,257.838500977,59.153301239
1.63093913249868E+018,1.63093913248412E+018,123.299499512,60.3904190063,-0.378243982792,377.266143799,251.66809082,59.3064880371
1.63093913253121E+018,1.63093913251542E+018,98.1022720337,64.0083389282,0.371836543083,412.045288086,245.901550293,59.3466949463
1.63093913256876E+018,1.63093913254701E+018,107.246315002,65.7404098511,0.357356548309,410.514404297,246.787261963,59.8081207275
1.63093913259776E+018,1.63093913258396E+018,71.2333374023,58.0735435486,-0.300477415323,396.309143066,247.429336548,60.1061973572
1.63093913264172E+018,1.63093913262268E+018,74.0801849365,67.7061309814,-0.317266643047,399.363708496,245.444030762,60.3254127502
1.63093913266856E+018,1.63093913265367E+018,79.1253051758,61.9785690308,0.0124207166955,402.255371094,240.208892822,60.4304008484
1.63093913270499E+018,1.63093913268938E+018,81.0180587769,54.4571609497,0.0540087744594,401.745391846,245.586257935,60.1181678772
1.63093913273756E+018,1.63093913272219E+018,81.8912506104,72.9772033691,0.823458731174,399.51965332,235.383071899,60.4873809814
1.63093913276897E+018,1.6309391327536E+018,93.7402877808,85.915687561,-0.618322432041,400.270782471,235.853775024,62.1885986328
