%time,field.header.seq,field.header.stamp,field.header.frame_id,field.x,field.y,field.z,field.R,field.P,field.Y
1635842894455110766,24753,0,,-1.91942024231,-0.0344962254167,0.518879652023,0.0,0.0,0.0
1635842894463367616,24754,0,,-1.91942024231,-0.0344962254167,0.518879652023,0.0,0.0,0.0
1635842894471371186,24755,0,,-1.91942024231,-0.0344962254167,0.518879652023,0.0,0.0,0.0
1635842894479310294,24756,0,,-1.91834259033,-0.0344918482006,0.518870890141,0.0,0.0,0.0
1635842894487264079,24757,0,,-1.91834259033,-0.0344918482006,0.518870890141,0.0,0.0,0.0
1635842894495246624,24758,0,,-1.91834259033,-0.0344918482006,0.518870890141,0.0,0.0,0.0
1635842894503256093,24759,0,,-1.91834259033,-0.0344918482006,0.518870890141,0.0,0.0,0.0
1635842894511202622,24760,0,,-1.91834259033,-0.0344918482006,0.518870890141,0.0,0.0,0.0
1635842894519226053,24761,0,,-1.91834259033,-0.0344918482006,0.518870890141,0.0,0.0,0.0
1635842894527195801,24762,0,,-1.91725564003,-0.0344845466316,0.518855810165,0.0,0.0,0.0
1635842894535166759,24763,0,,-1.91725564003,-0.0344845466316,0.518855810165,0.0,0.0,0.0
