field.header.stamp,time,field.major_axis,field.minor_axis,field.orientation,field.x,field.y,,field.header.stamp,time,field.value,,field.header.stamp,field.speed,field.vx,field.vy,field.vz
1.59162378552276E+018,236.74980864,139.86680603,94.7928466797,-0.327424883842,384.838500977,248.243743896,,1.59162378548881E+018,236.748248064,3.20000004768,,,,,,
1.59162378555326E+018,236.780314368,147.12562561,101.562957764,-0.31444182992,380.762786865,250.691177368,,1.59162378552276E+018,236.782198528,3.20000004768,,,,,,
1.59162378558745E+018,236.814496256,158.138885498,107.940391541,-0.458497792482,379.185058594,257.186126709,,1.59162378555326E+018,236.812704256,3.20000004768,,,,,,
1.59162378561982E+018,236.846866176,165.113677979,116.112609863,-0.665621757507,376.286102295,269.60546875,,1.59162378558745E+018,236.846886144,3.20000004768,,,,,,
1.59162378565095E+018,236.878002176,176.924682617,114.004096985,-1.22025001049,382.195678711,278.722930908,,1.59162378561982E+018,236.879256064,3.20000004768,,,,,,
1.5916237856851E+018,236.91214848,170.108291626,110.758956909,-1.37979543209,386.610626221,276.121185303,,1.59162378565095E+018,236.910392064,3.20000004768,,,,,,
1.59162378571929E+018,236.946335488,124.136611938,110.246559143,1.08030545712,391.836364746,261.574951172,,1.5916237856851E+018,236.944538368,3.20000004768,,,,,,
1.59162378575234E+018,236.979392256,118.646697998,107.329658508,1.03358268738,392.565887451,258.96887207,,1.59162378571929E+018,236.978725376,3.20000004768,,,,,,
1.59162378580016E+018,237.027209472,112.642601013,107.855026245,0.648227393627,391.250579834,257.732452393,,1.59162378575234E+018,237.011782144,3.20000004768,,,,,,
1.59162378582922E+018,237.056274944,112.551734924,106.593887329,0.361133575439,391.579559326,256.192962646,,1.59162378580016E+018,237.05959936,3.20000004768,,,,,,
1.5916237858607E+018,237.087749888,111.297714233,107.29523468,0.161028832197,392.1590271,255.249511719,,1.59162378582922E+018,237.088664832,3.20000004768,,,,,,
1.5916237858858E+018,237.11284736,112.533088684,105.111968994,0.11796978116,391.555511475,255.256591797,,1.5916237858607E+018,237.120139776,3.20000004768,,,,,,
1.59162378591737E+018,237.14442368,115.89541626,105.360244751,-0.023230753839,391.868377686,255.624923706,,1.5916237858858E+018,237.145237248,3.20000004768,,,,,,
1.59162378595175E+018,237.178801664,115.676185608,104.729431152,0.185359746218,392.765655518,256.395263672,,1.59162378591737E+018,237.176813568,3.20000004768,,,,,,
1.59162378598961E+018,237.216657152,115.609985352,104.998092651,0.246786355972,393.33303833,256.257843018,,1.59162378595175E+018,237.211191552,3.20000004768,,,,,,
