time,stamps,major_axis,minor_axis,orientation,x,y,minor_axis_average
1.62004609312648E+018,1.62004609310973E+018,0,0,0,0,0,101.313240051
1.62004609316354E+018,1.62004609314577E+018,0,0,0,0,0,101.313240051
1.62004609319292E+018,1.62004609317814E+018,0,0,0,0,0,101.313240051
1.6200460932222E+018,1.62004609320473E+018,0,0,0,0,0,101.313240051
1.62004609326021E+018,1.62004609324615E+018,0,0,0,0,0,101.313240051
1.62004609329148E+018,1.62004609327832E+018,0,0,0,0,0,101.313240051
1.62004609332713E+018,1.62004609330963E+018,0,0,0,0,0,101.313240051
1.62004609336005E+018,1.62004609334559E+018,0,0,0,0,0,101.313240051
1.62004609339146E+018,1.62004609337817E+018,0,0,0,0,0,101.313240051
1.62004609342427E+018,1.62004609341036E+018,0,0,0,0,0,101.313240051
1.62004609346112E+018,1.62004609344575E+018,0,0,0,0,0,101.313240051
1.62004609349394E+018,1.62004609347842E+018,0,0,0,0,0,101.313240051
1.6200460935258E+018,1.62004609351043E+018,0,0,0,0,0,101.313240051
1.62004609355951E+018,1.62004609354647E+018,0,0,0,0,0,101.313240051
1.62004609358636E+018,1.62004609357248E+018,0,0,0,0,0,101.313240051
1.6200460936186E+018,1.62004609360422E+018,0,0,0,0,0,101.313240051
1.62004609366072E+018,1.62004609364694E+018,0,0,0,0,0,101.313240051
1.6200460936933E+018,1.62004609367824E+018,0,0,0,0,0,101.313240051
1.62004609372412E+018,1.62004609371036E+018,0,0,0,0,0,101.313240051
1.62004609376042E+018,1.62004609374652E+018,0,0,0,0,0,101.313240051
1.62004609379252E+018,1.6200460937781E+018,0,0,0,0,0,101.313240051
1.62004609382544E+018,1.62004609381026E+018,0,0,0,0,0,101.313240051
1.62004609385445E+018,1.6200460938405E+018,0,0,0,0,0,101.313240051
1.62004609389195E+018,1.62004609387393E+018,0,0,0,0,0,101.313240051
1.62004609392703E+018,1.6200460939103E+018,0,0,0,0,0,101.313240051
1.62004609396162E+018,1.62004609394626E+018,0,0,0,0,0,101.313240051
1.62004609399286E+018,1.62004609397843E+018,0,0,0,0,0,101.313240051
1.62004609402522E+018,1.62004609401042E+018,0,0,0,0,0,101.313240051
1.62004609406088E+018,1.6200460940464E+018,0,0,0,0,0,101.313240051
1.62004609409344E+018,1.62004609407655E+018,0,0,0,0,0,101.313240051
1.62004609412441E+018,1.62004609410847E+018,0,0,0,0,0,101.313240051
1.62004609415427E+018,1.62004609414034E+018,0,0,0,0,0,101.313240051
1.620046094192E+018,1.62004609417803E+018,0,0,0,0,0,101.313240051
