%time,field.header.seq,field.header.stamp,field.header.frame_id,field.acceleration,field.acceleration_averaged
1635821699464753824,613,1635821699464169979,,24.0490207672,2.06526994705
1635821699468860056,614,1635821699468323945,,-5.17577981949,0.122836001217
1635821699472948128,615,1635821699472276926,,-18.2141094208,-2.54159188271
1635821699476924106,616,1635821699476284027,,13.2265195847,-0.955493986607
1635821699480824649,617,1635821699480278015,,0.0250400006771,2.78213810921
1635821699485084419,618,1635821699484445095,,9.21508979797,-0.184648007154
1635821699488751342,619,1635821699488269090,,0.183050006628,0.887117981911
1635821699492933502,620,1635821699492284059,,-7.92036008835,2.94586801529
1635821699497003369,621,1635821699496277093,,3.8567199707,1.07190799713
1635821699500988817,622,1635821699500308036,,-11.3621101379,-1.20552194118
1635821699504708606,623,1635821699504138946,,3.73278999329,-2.30198192596
1635821699509102991,624,1635821699508390903,,-0.564450025558,-2.45148205757
1635821699512536795,625,1635821699511967897,,10.6234502792,1.2572799921
1635821699516477774,626,1635821699515959978,,-1.30257999897,0.225419998169
1635821699520307552,627,1635821699519958019,,-0.0750399976969,2.48283410072
1635821699523993445,628,1635821699523744106,,-7.84451007843,0.167373999953
1635821699527990801,629,1635821699527719020,,2.2138800621,0.723039984703
1635821699532036387,630,1635821699531763076,,16.3944301605,1.87723600864
1635821699536089286,631,1635821699535818099,,8.23670005798,3.7850921154
1635821699540019696,632,1635821699539725065,,-15.536359787,0.692827999592
1635821699544154559,633,1635821699543826103,,-4.75488996506,1.31075203419
1635821699548104484,634,1635821699547883033,,0.295789986849,0.927133977413
1635821699552077450,635,1635821699551743030,,15.4663295746,0.741514027119
1635821699556171437,636,1635821699555871963,,-16.396490097,-4.18512392044
1635821699560333164,637,1635821699559998989,,49.3333511353,8.78881835938
1635821699564468688,638,1635821699564062118,,-49.7645988464,-0.213124006987
1635821699568579520,639,1635821699568089962,,1.56411004066,0.0405399985611
1635821699572443154,640,1635821699572006940,,-18.8665790558,-6.82604217529
1635821699576412498,641,1635821699576015949,,7.63281011581,-2.0201818943
1635821699580507148,642,1635821699580077886,,2.8803999424,-11.3107719421
1635821699584911390,643,1635821699584233045,,7.4365401268,0.12945599854
1635821699588732800,644,1635821699588243961,,14.83452034,2.7835381031
1635821699592812796,645,1635821699592313051,,-0.393209993839,6.47821187973
1635821699596878179,646,1635821699596263885,,13.9717302322,7.74599599838
1635821699600752154,647,1635821699600261926,,-14.2319698334,4.32352209091
1635821699604765144,648,1635821699604228973,,-16.8135204315,-0.526489973068
1635821699608736464,649,1635821699608279943,,8.61522006989,-1.7703499794
1635821699612804011,650,1635821699612267971,,8.22461986542,-0.0467839986086
1635821699616860733,651,1635821699616347074,,-13.4098100662,-5.52309179306
1635821699620982581,652,1635821699620312929,,-8.44711017609,-4.3661198616
1635821699624858678,653,1635821699624351024,,21.2723999023,3.25106406212
1635821699628977509,654,1635821699628242015,,-8.86664009094,-0.245307996869
1635821699632871814,655,1635821699632227897,,-0.376329988241,-1.96549797058
1635821699636792538,656,1635821699636296987,,1.89232003689,1.0949280262
1635821699640975991,657,1635821699640243053,,11.2263698578,5.02962398529
1635821699644720890,658,1635821699644237041,,-22.8092803955,-3.78671193123
1635821699648784531,659,1635821699648232936,,8.38360023499,-0.336663991213
1635821699652954517,660,1635821699652292013,,40.0830116272,7.75520420074
1635821699656816172,661,1635821699656243085,,-8.75712013245,5.62531614304
1635821699660900754,662,1635821699660203933,,-35.2197303772,-3.66390395164
1635821699664764887,663,1635821699664321899,,-8.13508033752,-0.729063987732
1635821699668645345,664,1635821699668229103,,-2.61055994034,-2.9278960228
1635821699672692161,665,1635821699672204971,,31.1378498077,-4.71692800522
1635821699676816255,666,1635821699676290988,,-37.9831886292,-10.5621423721
1635821699680858247,667,1635821699680280923,,15.564160347,-0.405364006758
1635821699684778327,668,1635821699684237957,,23.1486606598,5.8513841629
1635821699688937760,669,1635821699688273906,,-0.941540002823,6.18518781662
1635821699692690387,670,1635821699692174911,,-19.020740509,-3.84652996063
1635821699696908112,671,1635821699696197032,,6.48910999298,5.04792976379
1635821699700947251,672,1635821699700395107,,-1.88181996346,1.55873405933
1635821699704771264,673,1635821699704226016,,9.39725017548,-1.19154798985
1635821699708709710,674,1635821699708149909,,0.254850000143,-0.952269971371
1635821699712693198,675,1635821699712157964,,-32.6592292786,-3.67996811867
1635821699716739839,676,1635821699716228961,,31.2208499908,1.26637995243
1635821699720793843,677,1635821699720279932,,0.419649988413,1.72667396069
1635821699724665564,678,1635821699724255084,,-17.0811004639,-3.56899595261
1635821699728827339,679,1635821699728291988,,-7.55530023575,-5.13102579117
1635821699732741920,680,1635821699732175111,,6.18059015274,2.63693809509
1635821699737121121,681,1635821699736440896,,-3.02406001091,-4.21204376221
1635821699740849519,682,1635821699740259885,,9.0599899292,-2.4839758873
1635821699744548413,683,1635821699744153022,,-5.67666006088,-0.203088000417
1635821699748906000,684,1635821699748297929,,-5.88674020767,0.130623996258
1635821699753024364,685,1635821699752393007,,3.36989998817,-0.431513994932
1635821699756813141,686,1635821699756206035,,0.209810003638,0.215259999037
1635821699760991353,687,1635821699760294914,,-3.57066011429,-2.31086993217
1635821699764944441,688,1635821699764256000,,17.3437309265,2.29320788383
1635821699768826587,689,1635821699768256902,,-7.62328004837,1.94589996338
1635821699773070872,690,1635821699772463083,,-0.499269992113,1.17206597328
1635821699777212188,691,1635821699776501893,,0.916109979153,1.31332600117
1635821699781146070,692,1635821699780400037,,8.69645023346,3.76674795151
1635821699784831590,693,1635821699784341096,,11.4689998627,2.59180188179
1635821699788746929,694,1635821699788285970,,-29.8615398407,-1.85584998131
1635821699792942389,695,1635821699792411088,,2.95748996735,-1.16449797153
1635821699796745763,696,1635821699796216964,,14.6352596283,1.57933199406
1635821699800449043,697,1635821699800120115,,-7.53238010406,-1.66643404961
1635821699804363235,698,1635821699803941011,,-1.46562004089,-4.25335788727
1635821699808191992,699,1635821699807873010,,14.5727396011,4.63349819183
1635821699812216285,700,1635821699811860084,,-7.29859018326,2.58228206635
1635821699816367683,701,1635821699815923929,,3.14972996712,0.28517600894
1635821699820077148,702,1635821699819833040,,-11.0255203247,-0.413451999426
1635821699823862041,703,1635821699823646068,,0.576969981194,-0.00493399985135
1635821699827765048,704,1635821699827620029,,-16.0293502808,-6.12535190582
1635821699831829930,705,1635821699831650972,,7.51684999466,-3.16226410866
1635821699835761381,706,1635821699835581064,,24.6304702759,1.13388395309
1635821699839739283,707,1635821699839540004,,-14.6251296997,0.413962006569
1635821699843763482,708,1635821699843616008,,13.9842796326,3.09542393684
1635821699847822589,709,1635821699847666025,,-8.59255981445,4.58278179169
1635821699851683827,710,1635821699851545095,,33.8740997314,9.85423183441
1635821699855815980,711,1635821699855649948,,-16.4926700592,1.62960398197
1635821699859765173,712,1635821699859607934,,-39.1865882874,-3.28268790245
1635821699863702615,713,1635821699863595008,,7.67479991913,-4.54458379745
1635821699867674338,714,1635821699867533922,,25.3623199463,2.24639201164
1635821699871699007,715,1635821699871572971,,20.9702796936,-0.334372013807
1635821699875862214,716,1635821699875608921,,-42.6665382385,-5.56914615631
1635821699879953868,717,1635821699879760026,,33.6777687073,9.00372600555
1635821699883826178,718,1635821699883600950,,-39.3655281067,-0.40433999896
1635821699887792189,719,1635821699887614965,,22.3965301514,-0.997497975826
1635821699891846868,720,1635821699891705036,,-29.7060909271,-11.1327724457
1635821699895813841,721,1635821699895656108,,33.2567901611,4.05189418793
1635821699899742523,722,1635821699899595975,,-5.07631015778,-3.69892191887
1635821699903825682,723,1635821699903690099,,-10.9180898666,1.99056601524
1635821699907707931,724,1635821699907573938,,-3.19271993637,-3.12728404999
1635821699911909231,725,1635821699911756038,,4.87793016434,3.78952002525
1635821699915883826,726,1635821699915668010,,6.26282978058,-1.60927200317
1635821699919827565,727,1635821699919620990,,-1.74551999569,-0.943113982677
1635821699923681098,728,1635821699923559904,,9.95197963715,3.23090004921
1635821699927903550,729,1635821699927697896,,-31.7786903381,-2.48629403114
1635821699931797378,730,1635821699931627988,,23.8925704956,1.31663405895
1635821699935811489,731,1635821699935590982,,34.7716903687,7.01840591431
1635821699939816591,732,1635821699939676046,,-33.5857696533,0.650355994701
1635821699943832154,733,1635821699943669080,,-15.9778203964,-4.53560400009
1635821699947720391,734,1635821699947613954,,3.27007007599,2.47414803505
1635821699951758632,735,1635821699951575994,,19.913980484,1.6784299612
1635821699955663557,736,1635821699955507040,,-23.2762508392,-9.9311580658
1635821699959719761,737,1635821699959525108,,5.47526979446,-2.11894989014
1635821699963731028,738,1635821699963602066,,9.02633953094,2.88188195229
1635821699967786997,739,1635821699967648029,,-7.31592988968,0.764681994915
1635821699971810136,740,1635821699971585035,,8.35659980774,-1.54679405689
1635821699975894921,741,1635821699975766897,,-1.1478099823,2.87889409065
1635821699979773861,742,1635821699979619026,,-2.7776799202,1.22830402851
1635821699983707642,743,1635821699983556985,,15.2870998383,2.48045611382
1635821699987811295,744,1635821699987678050,,13.4916601181,6.64197397232
1635821699991739054,745,1635821699991576910,,-3.23170995712,4.32431221008
1635821699995747170,746,1635821699995600938,,-37.3754806519,-2.92122197151
1635821699999863943,747,1635821699999691963,,-0.171110004187,-2.3999080658
1635821700003756435,748,1635821700003621101,,8.3224401474,-3.79284000397
1635821700007750053,749,1635821700007594108,,-15.7059898376,-9.63236999512
1635821700011891244,750,1635821700011718988,,14.424659729,-6.10109615326
1635821700015751363,751,1635821700015597105,,-7.29735994339,-0.0854720026255
1635821700019734395,752,1635821700019577980,,20.0207195282,3.9528939724
1635821700023729843,753,1635821700023605108,,12.8130998611,4.8510260582
1635821700027735918,754,1635821700027607917,,-17.7125606537,4.44971179962
1635821700031716564,755,1635821700031549930,,-3.90663003922,0.78345400095
1635821700035813237,756,1635821700035669088,,4.17561006546,3.0780479908
